Name,Discount,Price,Sold_Num,Link
,,,,
100%檸檬汁(袋裝20入) 【滿999免運】飲料 甜點 料理 泰式 沾醬 涼拌 增添風味,滿額折$30,$129,0,https://shopee.tw/100-%E6%AA%B8%E6%AA%AC%E6%B1%81(%E8%A2%8B%E8%A3%9D20%E5%85%A5)-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%A3%B2%E6%96%99-%E7%94%9C%E9%BB%9E-%E6%96%99%E7%90%86-%E6%B3%B0%E5%BC%8F-%E6%B2%BE%E9%86%AC-%E6%B6%BC%E6%8B%8C-%E5%A2%9E%E6%B7%BB%E9%A2%A8%E5%91%B3-i.772733494.21140504890?sp_atk=48102469-b3ad-4f45-ac9d-f618db74bce9
,,,,
派脆刻 龍捲餅 650g【滿999免運】2種口味 紅豆/青蔥 5片 早餐 點心 龍豪 懶人料理 加熱即食 烤箱 氣炸鍋,滿額折$30,$120,41,https://shopee.tw/%E6%B4%BE%E8%84%86%E5%88%BB-%E9%BE%8D%E6%8D%B2%E9%A4%85-650g%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%912%E7%A8%AE%E5%8F%A3%E5%91%B3-%E7%B4%85%E8%B1%86-%E9%9D%92%E8%94%A5-5%E7%89%87-%E6%97%A9%E9%A4%90-%E9%BB%9E%E5%BF%83-%E9%BE%8D%E8%B1%AA-%E6%87%B6%E4%BA%BA%E6%96%99%E7%90%86-%E5%8A%A0%E7%86%B1%E5%8D%B3%E9%A3%9F-%E7%83%A4%E7%AE%B1-%E6%B0%A3%E7%82%B8%E9%8D%8B-i.772733494.21425610674?sp_atk=58dbb150-f4c6-4148-a7a5-e98d0089b100
,,,,
日本超夯北海道生吐司(共8種口味) 90g 【滿999免運】 團購美食 生吐司 早餐推薦,滿額折$30,$45,5,https://shopee.tw/%E6%97%A5%E6%9C%AC%E8%B6%85%E5%A4%AF%E5%8C%97%E6%B5%B7%E9%81%93%E7%94%9F%E5%90%90%E5%8F%B8(%E5%85%B18%E7%A8%AE%E5%8F%A3%E5%91%B3)-90g-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91-%E5%9C%98%E8%B3%BC%E7%BE%8E%E9%A3%9F-%E7%94%9F%E5%90%90%E5%8F%B8-%E6%97%A9%E9%A4%90%E6%8E%A8%E8%96%A6-i.772733494.14984934635?sp_atk=24e341d6-f277-4fe9-9990-3bbebf849bd1
,,,,
即食料理 台北《佬港冰室》乾炒牛肉河粉 300g【滿999免運】 台北淡水名店 港式經典,滿額折$30,$145,1,https://shopee.tw/%E5%8D%B3%E9%A3%9F%E6%96%99%E7%90%86-%E5%8F%B0%E5%8C%97%E3%80%8A%E4%BD%AC%E6%B8%AF%E5%86%B0%E5%AE%A4%E3%80%8B%E4%B9%BE%E7%82%92%E7%89%9B%E8%82%89%E6%B2%B3%E7%B2%89-300g%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91-%E5%8F%B0%E5%8C%97%E6%B7%A1%E6%B0%B4%E5%90%8D%E5%BA%97-%E6%B8%AF%E5%BC%8F%E7%B6%93%E5%85%B8-i.772733494.18559048424?sp_atk=6b979979-80f6-4bea-a6dc-f356bc22d745
,,,,
麵食點心《大家》超迷你馬卡龍銀絲卷 原味/草莓/巧克力 (20入) 500克/包 【滿999免運】早餐,滿額折$30,$99,14,https://shopee.tw/%E9%BA%B5%E9%A3%9F%E9%BB%9E%E5%BF%83%E3%80%8A%E5%A4%A7%E5%AE%B6%E3%80%8B%E8%B6%85%E8%BF%B7%E4%BD%A0%E9%A6%AC%E5%8D%A1%E9%BE%8D%E9%8A%80%E7%B5%B2%E5%8D%B7-%E5%8E%9F%E5%91%B3-%E8%8D%89%E8%8E%93-%E5%B7%A7%E5%85%8B%E5%8A%9B-(20%E5%85%A5)-500%E5%85%8B-%E5%8C%85-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E6%97%A9%E9%A4%90-i.772733494.16570667532?sp_atk=a0f7c4c7-0be8-49f6-8fb2-05cdd631147c
